route_id,origin_node,destination_node,distance_km,transport_mode,travel_time_hours,cost_per_ton,capacity_tons
R_000000,N_0048,N_0045,3942.97,maritime,50.20027475614535,433.854254960312,36.50040028626271
R_000001,N_0020,N_0031,1697.46,air,32.2239322222563,126.27173600874161,60.11211362125152
R_000002,N_0030,N_0002,1336.64,truck,30.456303316512958,326.75325201462636,99.10484650938369
R_000003,N_0001,N_0026,4907.08,truck,92.75793272404832,431.9014077161035,22.295919829782594
R_000004,N_0047,N_0038,5219.35,truck,72.11592129961961,414.55102760563136,88.03650867220934
R_000005,N_0012,N_0006,3354.09,truck,46.62869007183681,342.4837688499943,73.1770189531933
R_000006,N_0015,N_0013,4115.53,air,76.89733948653134,219.01232868797482,18.45837458567821
R_000007,N_0022,N_0021,2127.38,truck,46.04548461045447,491.828399739739,85.5040151862427
R_000008,N_0021,N_0048,6078.81,truck,83.3810546133388,212.0857886350683,21.43544613866963
R_000009,N_0032,N_0007,2344.13,rail,48.200523493543756,330.3007141185501,17.68127184943912
R_000010,N_0044,N_0031,576.55,truck,9.355658939537083,336.84345567419297,75.34822003503955
R_000011,N_0012,N_0049,946.74,truck,17.890594527156892,407.83378764591663,34.37490261358668
R_000012,N_0027,N_0025,1304.69,truck,16.618956069608124,426.1910542304926,72.63767854843282
R_000014,N_0046,N_0033,1879.85,truck,42.963059730487196,132.2896986982883,94.11525976057388
R_000015,N_0000,N_0015,3382.07,truck,51.02355972968626,246.05280440505098,75.70353849056367
R_000016,N_0002,N_0011,3375.61,truck,72.83522154064754,104.07409151253898,40.769170004476145
R_000017,N_0027,N_0004,4310.12,truck,82.16551961167471,490.77973787967886,25.779724290040466
R_000018,N_0015,N_0025,3840.28,rail,53.13321584424787,205.83694449023037,51.82064316456503
R_000019,N_0036,N_0022,828.16,truck,10.622089498287044,449.0061742841214,33.48042610075426
R_000020,N_0009,N_0018,1442.65,truck,19.42708669234834,346.41213422852525,24.664098437328672
R_000021,N_0023,N_0015,3510.6,truck,85.49829615033367,313.5990115730585,94.62072172824618
R_000022,N_0023,N_0011,3320.56,truck,50.51702501733974,256.2138007211825,59.105511038434145
R_000023,N_0036,N_0011,2453.92,truck,31.280964743535822,457.4077888802287,27.62120213103668
R_000024,N_0012,N_0011,2225.12,truck,54.63252103615042,92.49933234016778,71.47060960747211
