route_id,origin_node,destination_node,distance_km,transport_mode,travel_time_hours,cost_per_ton,capacity_tons
R_000000,N_0146,N_0658,2906.87,maritime,58.78924964709049,215.192000517009,34.743380250559255
R_000001,N_0570,N_0997,5605.53,truck,127.60773543461521,227.42738887306308,97.01417065030981
R_000002,N_0691,N_1108,1315.04,rail,22.623626680551478,415.08680481025146,91.74557502258028
R_000003,N_1087,N_1263,965.11,truck,12.836281524897469,151.28729760913737,45.754021179175055
R_000004,N_0397,N_0770,1148.15,truck,17.963121770617654,99.09719364561619,80.4540366563065
R_000005,N_0466,N_0282,3148.45,truck,55.64591673628569,282.349209086236,16.19872166874063
R_000006,N_1254,N_0598,4699.19,maritime,62.7832463110275,109.99733870599152,62.227845972663076
R_000007,N_1720,N_0146,2387.53,truck,40.58945228608682,71.6670162615581,38.387827989170475
R_000008,N_1514,N_1956,5876.84,truck,77.03015853457401,497.98974765629475,94.98277616342243
R_000009,N_1409,N_0504,612.98,truck,8.860968653007108,172.82696457944132,87.90561804422234
R_000010,N_1685,N_0329,3037.81,truck,51.54907485136345,169.2912510466425,35.99236325982717
R_000011,N_1837,N_1526,2311.12,air,48.476743994185505,173.98610503921984,19.778319375603402
R_000012,N_0685,N_1661,582.16,air,9.376991333189839,361.80189677620655,77.31522456315889
R_000013,N_0255,N_0115,1592.5,air,26.076730563809814,91.6031918751921,45.73743470503022
R_000014,N_0554,N_1159,5000.68,truck,73.57388659370089,446.92249118357967,79.47029119439188
R_000015,N_1138,N_1877,2608.27,truck,51.979775746624846,254.72577424884494,36.36576164243594
R_000016,N_0013,N_0966,3596.54,air,77.79145222626289,420.17909953739894,73.26232270801663
R_000017,N_0432,N_0611,1501.92,truck,27.791312679914142,107.313868263589,98.93075484192988
R_000018,N_0716,N_0533,4013.38,truck,61.02418319012184,210.69207659175245,74.3963165166456
R_000019,N_0160,N_0173,1242.92,truck,22.469054660241262,284.8535796685723,64.31974257959264
R_000020,N_0436,N_1818,4442.87,truck,105.63855556768132,333.8302205374239,98.81904062081537
R_000021,N_0522,N_1693,2751.98,rail,58.47795410693116,386.87864855351796,17.332893871804377
R_000022,N_0110,N_1743,960.24,truck,12.599687398563072,121.92608714189093,80.99965031988171
R_000023,N_1714,N_1690,1633.92,rail,31.572629025403096,489.1610403025395,70.4569095963426
R_000024,N_1524,N_1264,1086.83,truck,16.5745555321123,172.72870018345282,26.812481720801557
R_000025,N_1694,N_1235,444.42,rail,8.974395068208157,291.14260987332136,69.72665944427712
R_000026,N_1048,N_0224,2388.34,rail,42.02403756470104,429.98330471007597,49.75245884329021
R_000027,N_0759,N_0994,3343.27,truck,60.73018592451891,302.91496956804906,85.49256486832014
R_000028,N_1800,N_1617,1645.6,rail,21.070950063011185,315.5921003470271,10.68918738886801
R_000029,N_1357,N_1644,1674.04,truck,27.047370305219648,457.20026212436693,85.43034671887847
R_000030,N_0087,N_0907,2490.75,truck,37.53053834731688,494.38019328401634,12.817253742427718
R_000031,N_0505,N_0645,1254.46,maritime,15.861538808860814,198.82693291893312,10.001506263214127
R_000032,N_1237,N_1383,831.69,air,15.700651578975027,470.42148417519655,39.94321934001367
R_000033,N_1859,N_0905,2673.14,rail,49.67128943710364,208.49288540867602,52.29953467153966
R_000034,N_0960,N_1028,898.19,truck,13.763399287276602,354.806568189167,60.2085483990223
R_000035,N_0729,N_0553,5794.85,truck,88.62925342715752,319.8920125616781,74.98168974353503
R_000036,N_0286,N_1071,1579.5,air,37.87804199967756,338.334782024292,65.39328389827972
R_000037,N_1284,N_1552,2154.22,truck,47.289877623866865,172.25242472804973,89.38951215031395
R_000038,N_0228,N_1748,605.08,truck,11.73299596925898,450.1923094620742,31.299312560015824
R_000039,N_1298,N_1136,2432.91,truck,34.973364568400406,237.6766281071271,22.26200968400721
R_000040,N_0010,N_1050,307.61,truck,5.751604182459793,321.8576992702152,28.497793849206367
R_000041,N_0964,N_0590,6380.65,truck,112.9091377628623,139.06311410776723,51.53981721460639
