route_id,origin_node,destination_node,distance_km,transport_mode,travel_time_hours,cost_per_ton,capacity_tons
R_000000,N_0183,N_0393,4581.11,truck,75.40927929768912,73.02447790046416,30.95727011884848
R_000001,N_0326,N_0492,1857.78,truck,39.30107265018101,276.85977886329727,39.052881410306526
R_000002,N_0433,N_0463,3729.3,truck,82.26751671328218,467.48557988393327,88.09318881273151
R_000003,N_0380,N_0406,2654.17,truck,37.364236988843935,413.5807976490585,79.09881559429039
R_000004,N_0088,N_0334,4795.01,truck,65.35115810363592,309.8090305488505,68.17666377052801
R_000005,N_0277,N_0113,2860.94,truck,69.14637371526098,337.53335988797807,17.33024916020433
R_000006,N_0477,N_0242,2317.96,truck,37.497016756851195,110.03735098544318,72.24790617759864
R_000007,N_0081,N_0086,2197.42,truck,49.74630803235095,115.48196725431161,88.94148057086515
R_000008,N_0349,N_0396,5248.22,truck,118.55443000255718,342.3002030406328,88.11996327055809
R_000009,N_0300,N_0147,1323.13,truck,30.762408323923204,100.57866222920583,14.437808839884221
R_000010,N_0127,N_0006,1061.72,truck,21.06515001172162,223.27612507353277,94.86845056640222
R_000011,N_0225,N_0052,1934.64,rail,28.278336602687514,100.62640873698429,76.23283657365539
R_000012,N_0348,N_0181,1390.83,truck,25.92971157231412,498.9525184690966,33.71963315471
R_000013,N_0063,N_0028,1331.98,air,32.49854753093025,363.5100445429386,75.27937516622903
R_000014,N_0020,N_0038,5844.61,maritime,73.95982354808396,79.37454090490876,83.96553904776123
R_000015,N_0337,N_0122,5546.85,truck,122.89731666420423,342.584224900544,98.4234322541123
R_000016,N_0280,N_0042,1431.21,truck,34.40581989477929,213.03207050009217,84.37512804404997
R_000017,N_0491,N_0447,2279.78,rail,30.669689248439735,258.62993345455243,80.58441693760452
R_000018,N_0414,N_0009,1683.72,truck,30.11022619201738,469.1655466685063,40.440787058555635
R_000019,N_0495,N_0176,1273.7,maritime,19.16129176204834,417.60063027687573,77.45910077989767
R_000020,N_0345,N_0229,2172.5,truck,51.378946759028736,204.37327963384277,70.0242386683516
R_000021,N_0143,N_0256,5863.97,truck,128.63058463729115,372.0811668848579,97.55143314907995
R_000022,N_0207,N_0310,1823.82,truck,24.391035896753777,381.57190508817683,55.09362132861431
R_000023,N_0317,N_0357,851.39,rail,11.339020649745853,159.43099111890166,59.55135710872278
R_000024,N_0319,N_0485,1204.44,truck,15.755711407591711,419.22837690444914,78.40314116228565
R_000025,N_0275,N_0263,831.96,rail,14.463348325873616,204.07780548313684,59.18287249228388
R_000026,N_0270,N_0093,3355.96,rail,53.01894871153673,133.96554359292537,26.940897979214103
R_000027,N_0373,N_0036,2137.45,truck,33.65426976163431,428.15667991482866,11.574839258864975
R_000028,N_0411,N_0431,5944.21,truck,81.67387843283377,197.0325007558851,41.465295892694996
R_000029,N_0090,N_0215,933.05,maritime,16.190390737769242,167.18139895455877,85.4559674282971
R_000030,N_0327,N_0214,3823.56,truck,50.4929913495782,360.2377102420961,35.541814873739426
R_000031,N_0057,N_0301,1466.88,truck,20.84539846930611,328.8865345212047,16.967039678627554
R_000032,N_0425,N_0435,570.36,truck,10.73261265869938,321.01533606976574,39.009234202248244
R_000033,N_0052,N_0065,5362.9,truck,80.74772673220833,414.13766164553357,70.5548520928387
R_000034,N_0403,N_0102,3098.04,maritime,59.580438510561216,58.62554938624,48.879043431709675
R_000035,N_0116,N_0115,3777.13,maritime,78.04519685036702,405.01716077699575,79.71148748569284
R_000036,N_0215,N_0469,6453.15,truck,153.9280417201645,267.6085635667404,11.318241454523806
R_000037,N_0457,N_0034,2766.69,maritime,56.5886440425131,143.64771556836774,77.83481589059167
R_000038,N_0242,N_0437,1371.09,air,21.778177351305356,207.84993035464046,84.9424371714478
R_000039,N_0217,N_0114,2409.78,air,31.24691485987485,124.4390684577842,10.209106551873724
R_000040,N_0481,N_0102,346.46,air,8.206499691024504,424.86541877348145,51.2024439303286
R_000041,N_0203,N_0006,6021.33,air,125.7937681145858,476.2849997390301,28.505933892940696
R_000042,N_0382,N_0454,3220.76,truck,52.093360004207106,357.7888084618136,27.12051377381238
R_000043,N_0332,N_0000,1702.8,truck,39.74646621274306,418.2385179538863,40.21141605785576
R_000044,N_0438,N_0216,2603.85,truck,43.01721719599496,98.25007739381935,48.11338083243995
R_000045,N_0215,N_0106,2779.3,rail,37.76189945192397,295.2420251450081,17.810465865849142
R_000046,N_0179,N_0180,1068.11,truck,23.7439005414549,214.6546843780134,30.645415193894383
R_000047,N_0099,N_0383,2345.7,truck,57.62438577252706,96.2457091924018,25.497773148126974
R_000048,N_0272,N_0335,813.65,truck,17.833909071177082,241.15250368588383,40.75739580933345
R_000049,N_0001,N_0243,4675.24,truck,79.67259325912784,358.5432871693397,30.364960072942633
R_000050,N_0441,N_0494,992.55,air,19.46141095264102,150.62567890669916,87.13872456489243
R_000051,N_0081,N_0143,4265.11,truck,71.59879814240855,147.98691717530988,17.047150343160176
R_000052,N_0388,N_0336,1233.38,truck,21.275870200395175,473.2237393308548,95.75509502535259
R_000053,N_0361,N_0136,1902.73,truck,32.26989167411666,444.0583074137477,34.42877778484479
R_000054,N_0028,N_0380,3031.62,truck,56.160910246760565,192.07450839671986,81.22266272105973
R_000055,N_0334,N_0348,1970.38,truck,33.79161226785508,93.00159678125085,90.83318003380907
R_000056,N_0074,N_0269,2219.63,maritime,29.697166088937912,128.2823994633015,14.157683488146596
R_000057,N_0361,N_0209,2739.01,air,58.16042961591851,53.169311580863834,82.49464414290199
R_000058,N_0460,N_0195,3035.92,truck,45.20734687271683,156.55891345528104,17.556630710205404
R_000059,N_0097,N_0235,1855.04,truck,23.322271419262485,204.93861499398167,15.558614766117973
R_000060,N_0288,N_0125,3352.06,truck,69.07448700544636,401.77804505214175,28.337993726494936
R_000061,N_0252,N_0285,642.93,truck,11.48563842189526,238.51815077183852,56.31056113134686
R_000062,N_0178,N_0140,1454.72,air,31.965308886243132,74.45664425689567,11.667811023489996
R_000063,N_0245,N_0296,2119.3,truck,30.67039743674092,403.927571087655,31.93373907139084
R_000064,N_0332,N_0109,1762.51,truck,41.444098214931444,325.0136854450608,98.5361530308182
R_000065,N_0382,N_0472,1637.66,rail,27.293692312298404,107.51532996217223,62.40137039223277
R_000066,N_0322,N_0396,1887.69,truck,28.86502149812834,436.51955719612744,41.029279020988675
R_000067,N_0187,N_0185,2471.65,air,34.07092531194705,371.7287705982997,32.391735737783314
R_000068,N_0353,N_0473,2165.0,truck,33.27141264561058,62.96053124593342,67.93478256924513
R_000069,N_0180,N_0186,4147.8,truck,77.08149120883031,127.74054031079446,65.97827110844867
R_000070,N_0097,N_0312,3820.65,maritime,80.1077210110199,372.81774832833804,69.7905429945114
R_000071,N_0330,N_0206,2334.37,truck,34.53641906794219,475.4726872517751,66.89081097240862
R_000072,N_0026,N_0189,3454.95,truck,72.00036488298814,387.74487368918193,77.1777847008864
R_000073,N_0288,N_0466,897.19,air,17.672417641720195,492.0152274214767,44.461271263352124
R_000074,N_0351,N_0011,1476.29,truck,25.626829461383316,81.18849786723267,62.039654310096054
R_000075,N_0132,N_0021,3280.3,rail,79.68308822756352,293.55719649522354,14.761668994359795
R_000076,N_0017,N_0241,5731.0,truck,74.9452361972913,365.9371550980234,55.66507885766414
R_000077,N_0175,N_0448,3548.36,truck,68.71352790791039,441.0315972594033,91.40075304062445
R_000078,N_0105,N_0215,936.47,truck,13.617006632669705,328.43614210592284,17.351178837971858
R_000079,N_0445,N_0412,4331.43,truck,59.1168694836964,258.4397463390142,53.81453907471131
R_000080,N_0139,N_0098,2167.01,truck,28.533311293008286,255.42898490368984,23.44926326664648
R_000081,N_0088,N_0140,3094.48,truck,65.47040825913061,186.078083136765,14.572233072004803
R_000082,N_0051,N_0385,1304.58,air,16.86737162178792,469.6709933766397,21.270702306587207
R_000083,N_0130,N_0489,799.27,maritime,11.990880089956413,178.43183080854013,62.72275547937199
R_000084,N_0322,N_0209,1958.28,maritime,41.67307599522105,341.61364312484636,32.09090162850374
R_000085,N_0093,N_0451,2599.69,rail,38.838059136623876,326.52475711483663,90.32221845568105
R_000086,N_0332,N_0296,1077.61,truck,21.58179838568908,494.6062829294397,45.045080170018615
R_000087,N_0355,N_0138,615.84,truck,12.702041333485058,157.5489560951981,35.31561071977307
R_000088,N_0315,N_0350,4001.79,truck,98.1166355716424,445.72687556323797,96.90488482427956
R_000089,N_0063,N_0242,2682.35,truck,66.58656942905016,356.1128097486683,84.28959061737659
R_000090,N_0281,N_0028,1918.94,truck,26.799602686950717,327.33083675936507,14.037450186494532
R_000091,N_0322,N_0345,2780.28,air,42.80658187275544,110.3112024435463,20.418404162169217
R_000092,N_0282,N_0361,3505.95,truck,57.654786171152146,66.70099398303603,17.260279065205964
R_000093,N_0016,N_0126,1794.35,truck,33.44005346269096,147.02439435937015,83.23392436815772
R_000094,N_0449,N_0247,2582.69,truck,32.80510250137404,116.5335970380727,94.6788640745238
R_000095,N_0068,N_0098,1420.8,truck,25.7951282887218,484.21787067582164,34.61878261017432
R_000096,N_0173,N_0164,4180.04,maritime,68.01369181706048,276.18355202956405,33.200063938359214
R_000097,N_0487,N_0104,1321.9,truck,31.488465448840707,319.71136421111123,40.75071164366087
R_000098,N_0179,N_0428,3818.61,air,55.706833600450715,418.1655115075106,70.0598664700924
R_000099,N_0024,N_0385,1986.28,rail,41.0322702466397,195.54928479508854,83.73107908921781
R_000100,N_0000,N_0306,2870.57,air,59.160804135439605,323.5002973730992,17.541187529343546
R_000101,N_0290,N_0331,2043.72,rail,32.23666211851293,169.8041756744646,12.820840197298004
R_000102,N_0437,N_0386,3724.3,truck,48.13203481806595,142.9404817874029,76.15235341945889
R_000103,N_0160,N_0199,1177.98,truck,17.642138896578285,416.75689250426666,33.46076419665342
R_000104,N_0204,N_0364,411.28,truck,5.237700885192586,462.89520256835516,78.81114373834873
R_000105,N_0367,N_0302,1444.31,truck,32.768763512179426,57.164120268259374,65.45646686913376
R_000106,N_0187,N_0479,3258.88,rail,66.03927445155921,337.64082322548194,31.211428111829644
R_000107,N_0168,N_0329,1760.89,air,39.06838337096133,439.9680598679766,63.421772897286814
