route_id,origin_node,destination_node,distance_km,transport_mode,travel_time_hours,cost_per_ton,capacity_tons
R_000000,N_0042,N_0020,1043.77,truck,25.898276101346973,341.3636213695714,90.82274940549883
R_000001,N_0024,N_0035,3547.81,air,83.65358149136998,470.49621206248145,41.6460418515671
R_000002,N_0033,N_0077,1579.83,truck,31.42627027718698,178.1928058828653,37.656096843365795
R_000003,N_0027,N_0034,678.67,truck,15.571138154994731,372.93610365888327,45.99146861237406
R_000004,N_0076,N_0003,3867.96,rail,63.51407512652535,105.45019437747472,87.34742139525302
R_000005,N_0038,N_0012,1959.47,truck,37.819537230530514,407.0332661665268,26.67056018926687
R_000006,N_0055,N_0035,5091.02,truck,117.08453416917727,417.0868895769264,43.61587147345489
R_000007,N_0044,N_0046,5741.88,maritime,89.62655824958522,418.6349867420556,89.5785817013567
R_000008,N_0008,N_0025,1423.1,truck,22.08433879553966,234.9628114130171,85.58751725800484
R_000009,N_0071,N_0023,1722.79,truck,34.82154223727478,401.2364818597378,34.73254319933225
R_000010,N_0018,N_0099,695.04,truck,10.420073101808946,92.99089122560068,66.14733922089157
R_000011,N_0096,N_0054,1703.34,truck,36.457945921084935,381.59318522488195,87.65173697889057
R_000012,N_0020,N_0080,1398.26,truck,26.63806910163611,153.61077579254146,28.55675480665838
R_000013,N_0010,N_0009,3208.95,truck,49.15619437976198,76.30457634884925,22.75969541743917
R_000014,N_0063,N_0034,1481.16,truck,22.095737570474167,249.2226350507872,50.121182311950605
R_000015,N_0040,N_0074,4311.19,maritime,95.5159954747736,96.84934222287485,75.1904935415867
R_000016,N_0041,N_0031,1543.72,truck,35.75347108449536,88.54621231839374,90.47717871977065
R_000017,N_0002,N_0072,4127.29,truck,84.11663348199589,209.7483376243718,16.248145847148404
R_000018,N_0048,N_0059,2133.71,truck,29.628989016875206,155.17043685969486,58.601072314405954
R_000019,N_0071,N_0049,2191.12,truck,44.50501635098923,255.5863901961659,27.129237653716103
R_000020,N_0001,N_0086,2526.26,truck,46.33819695620699,497.96622081691567,50.17171160778779
R_000021,N_0007,N_0021,5213.54,truck,66.57987452309976,128.88632406094683,72.10044017385992
R_000022,N_0054,N_0079,912.71,truck,16.03844692459,419.81289975548907,10.11130117834685
R_000023,N_0015,N_0011,4265.2,maritime,72.29714122879469,222.1368261098037,20.78461018158817
R_000024,N_0004,N_0083,1679.37,air,27.26329232581442,428.9149824693896,56.8862179544838
R_000025,N_0069,N_0021,642.86,truck,9.156089583986422,107.47106763585568,84.34608672272755
R_000026,N_0037,N_0097,570.38,truck,12.758506176431338,152.31078504324446,40.750705170722874
R_000027,N_0084,N_0001,741.74,air,11.934292873906912,187.48593979611059,45.72833653668551
R_000028,N_0022,N_0025,4614.88,truck,76.11895141740064,463.7263879464878,54.726713461524724
R_000029,N_0085,N_0059,2179.26,air,45.08157698969539,468.7678465897623,20.472975809692848
R_000030,N_0081,N_0044,5059.19,truck,67.3490350834018,440.6255105483527,82.5332860105859
R_000031,N_0079,N_0006,442.04,truck,10.223632581048523,231.34108044432264,25.617206348785782
R_000032,N_0001,N_0034,4678.28,truck,59.20047094129019,338.4374348053994,84.02325072709249
R_000033,N_0024,N_0053,863.84,truck,13.44394982225333,112.63911107788843,90.84354645634353
R_000034,N_0051,N_0002,875.56,maritime,11.992627474712203,349.8380986257679,20.95857200127473
R_000035,N_0020,N_0097,5099.82,truck,103.4403788207012,85.98442746168587,79.90512674245234
