node_id,node_type,latitude,longitude,capacity_tons,demand_tons_per_month,region
N_0000,customer,40.00491446873061,-102.96026673818676,0.0,34.739582762079884,Northeast
N_0001,warehouse,38.990225363302315,-110.06700918840308,4557.517036814615,0.0,Northeast
N_0002,distribution_center,42.41742184873848,-88.58230776992518,7420.141475329987,0.0,Northeast
N_0003,customer,42.82779939775159,-105.70436599504275,0.0,446.12794247797376,West
N_0004,customer,35.41650334501021,-109.73601311282899,0.0,222.8576263132388,Northeast
N_0005,customer,48.91029487659704,-111.47885487836443,0.0,277.9692232792618,Northeast
N_0006,distribution_center,42.137265361075045,-119.60790230642519,2072.776331021328,0.0,Southwest
N_0007,warehouse,30.961030248875204,-112.3500175034033,2780.9826475660284,0.0,Southeast
N_0008,warehouse,36.014572398323686,-81.76872498761625,6106.644074702621,0.0,Midwest
N_0009,customer,33.932809403805265,-105.3509425634815,0.0,443.632511008488,Midwest
N_0010,customer,31.799314298198336,-78.58059930192948,0.0,204.7495968805549,Northeast
N_0011,distribution_center,48.70383021619004,-107.80175128550034,7730.351055964961,0.0,Northeast
N_0012,customer,39.02677383417822,-93.2384153479129,0.0,141.73822204727483,Southwest
N_0013,customer,45.635772049390624,-122.93453302639847,0.0,395.81293905250175,Southeast
N_0014,customer,30.96120660983698,-83.37781101327431,0.0,219.52465351463528,Southwest
N_0015,customer,28.465303171208014,-78.74474583732803,0.0,215.5009097168161,Midwest
N_0016,customer,29.82636945862402,-90.17627311009733,0.0,209.74010041003132,Midwest
N_0017,customer,47.25065509260226,-118.78180013163949,0.0,384.57595675699713,Southeast
N_0018,customer,47.17664489021759,-118.3990436236017,0.0,263.04795022711943,Northeast
N_0019,distribution_center,40.94126523973524,-72.98025390123303,8159.844287352502,0.0,Southwest
N_0020,customer,44.34026878282799,-124.53010012001839,0.0,463.0349171346344,Midwest
N_0021,customer,37.85329155711214,-103.9437274649045,0.0,183.35668778085366,Southwest
N_0022,customer,44.87480389615223,-112.25245314155879,0.0,406.56895515977857,West
N_0023,customer,33.50619877103332,-95.16758494810443,0.0,471.14919814150005,Northeast
N_0024,customer,46.68540264238073,-120.41919421666191,0.0,416.1469253639497,Northeast
N_0025,customer,41.246578791924094,-75.56340588374358,0.0,430.7944968812414,Midwest
N_0026,customer,25.318024804093852,-107.53936955733926,0.0,235.0027245289553,West
N_0027,customer,34.23528681330648,-96.12678951073046,0.0,220.50821014485805,West
N_0028,customer,42.577625177401096,-94.61893235511769,0.0,89.06777251713801,Northeast
N_0029,customer,34.940822213723926,-81.78758197605255,0.0,442.0146163430292,Southeast
N_0030,customer,27.528291627551997,-111.88068301985795,0.0,264.4200396823005,Southwest
N_0031,customer,29.006345699620034,-110.61996053106384,0.0,141.12439144223669,Southwest
N_0032,customer,48.66992012683364,-100.5305862089192,0.0,379.39388618009326,Northeast
N_0033,customer,41.71431536886657,-83.57338032527207,0.0,94.13001477567029,Southeast
N_0034,customer,38.12044612238293,-91.05084615011725,0.0,20.849322981588433,West
N_0035,customer,36.89689000556538,-69.94549316990981,0.0,225.15682697290595,Southeast
N_0036,customer,27.742858479951508,-79.87674262490265,0.0,342.6598852881419,Southeast
N_0037,customer,35.06251986798453,-123.93068157830194,0.0,398.4514756506783,Northeast
N_0038,customer,34.79485736382215,-72.74843390973538,0.0,118.7312257843427,Southeast
N_0039,distribution_center,25.239490639802785,-82.31682392106019,5403.000333541028,0.0,Northeast
N_0040,customer,45.980096371768624,-112.99724796697062,0.0,72.41934384016625,Northeast
N_0041,customer,37.253483089824115,-76.5846732970814,0.0,208.23864163796853,Midwest
N_0042,warehouse,34.83374167463054,-86.78132025592981,253.5324732032626,0.0,Southeast
N_0043,warehouse,46.05641087518813,-102.02510860024636,5463.433546248876,0.0,Southwest
N_0044,customer,38.09404438405954,-67.07926679125265,0.0,230.73450002059172,West
N_0045,customer,35.403333586135226,-66.16624111972592,0.0,283.93904962383505,West
N_0046,customer,26.68008429119358,-81.97515016809507,0.0,308.1203785812087,Southwest
N_0047,customer,42.34570605373131,-86.25296040142513,0.0,357.2951710622856,Midwest
N_0048,customer,44.95282494932728,-75.30279521975389,0.0,192.88816662582457,Southwest
N_0049,warehouse,27.488285937622635,-122.12919784395892,5852.049424413583,0.0,Northeast
N_0050,customer,43.76703945179102,-80.64692744864541,0.0,403.4710152593402,Southeast
N_0051,customer,25.351078213064216,-112.77270431363618,0.0,359.48557536083507,Midwest
N_0052,distribution_center,29.679404797606942,-72.46583848405962,7524.7802046755005,0.0,Northeast
N_0053,distribution_center,39.52988218018209,-99.44337643240519,7765.596561151492,0.0,Southeast
N_0054,customer,40.1773917838813,-115.76787375578756,0.0,242.22139785689032,West
N_0055,customer,34.269087827608736,-90.27820882561966,0.0,100.83266175043063,West
N_0056,distribution_center,35.196420228834086,-71.43752768087148,5119.890502713311,0.0,Northeast
N_0057,customer,28.20761395385243,-98.81230788314323,0.0,230.88037910431828,Northeast
N_0058,distribution_center,41.6166141390654,-109.42034290307059,9396.777946557886,0.0,West
N_0059,customer,31.468284695014543,-113.73533148077303,0.0,350.3740698579266,West
N_0060,customer,44.77041749917895,-121.27472271728391,0.0,390.6273368695413,Southwest
N_0061,customer,48.59933576364322,-78.58420789826876,0.0,389.0946567988762,Southwest
N_0062,customer,35.37630943368033,-123.16220352518992,0.0,137.19246014477412,West
N_0063,customer,30.841520397244732,-92.11710699519253,0.0,29.099867123953903,Southeast
N_0064,customer,35.29563836418137,-113.13715602905324,0.0,261.9585096045762,West
N_0065,customer,41.00252583481353,-119.43468184882843,0.0,376.52232082198765,Northeast
N_0066,customer,26.61414193521683,-119.39984172752149,0.0,499.4573798963124,Midwest
N_0067,customer,44.23235180497141,-85.21872832161655,0.0,12.80210486678675,Midwest
N_0068,distribution_center,25.96841984463279,-100.73970043831943,1387.7986313065749,0.0,Southwest
N_0069,customer,45.380296132040904,-101.04530369933947,0.0,16.712289700368128,Southwest
N_0070,customer,30.568436327411458,-124.15149468174698,0.0,384.5331593538494,Southeast
N_0071,customer,32.41494376163566,-117.17396992154376,0.0,260.7015017685878,Southeast
N_0072,customer,39.99073715474876,-73.99843843476651,0.0,297.5988882138645,Northeast
N_0073,warehouse,40.31973375500384,-81.75278644192716,6793.641436124074,0.0,West
N_0074,customer,30.493011099603976,-89.78573926362219,0.0,464.80922807583624,Southeast
N_0075,customer,37.66425918932068,-112.51348198437819,0.0,497.8592436544529,Southwest
N_0076,customer,45.66508718807948,-97.79115282601931,0.0,470.566578065213,Midwest
N_0077,customer,44.987965644857816,-103.61655196566608,0.0,433.1842964353419,Midwest
N_0078,distribution_center,37.008626709173456,-84.23784538350145,7001.644478328912,0.0,Northeast
N_0079,warehouse,38.31250503472207,-80.88013336419702,8121.56000832536,0.0,Northeast
N_0080,distribution_center,41.92333949369352,-98.14485248771427,6710.829856871214,0.0,West
N_0081,customer,26.454517785157833,-84.56167473668566,0.0,22.233448838828014,Midwest
N_0082,customer,45.115719399727425,-77.63415484535447,0.0,480.85087199512407,Midwest
N_0083,customer,47.88484234843621,-72.98467724719814,0.0,296.4048998100872,Northeast
N_0084,distribution_center,47.11138029311141,-90.59174254765124,5969.117787030291,0.0,Midwest
N_0085,warehouse,25.761850368951727,-100.02322649496135,937.1972431626548,0.0,Southwest
N_0086,customer,46.18995559644933,-86.11632080219829,0.0,113.50359742173619,West
N_0087,customer,41.40289065778021,-102.84897452959315,0.0,402.0359817176653,Northeast
N_0088,customer,25.720624127905428,-72.05541391833502,0.0,315.08896146334246,Northeast
N_0089,customer,45.33731033371297,-121.31874995270164,0.0,174.2867345383649,West
N_0090,customer,44.60737377452408,-74.69970214648774,0.0,469.60296340260817,Midwest
N_0091,customer,43.945826125926054,-100.44313452812439,0.0,92.37788291565496,Midwest
N_0092,customer,31.44549201888742,-119.04229169775209,0.0,92.07063365611278,West
N_0093,customer,48.64729197489485,-115.20471240507122,0.0,66.0714441200557,Southwest
N_0094,distribution_center,44.15903673302048,-105.75101883557234,3063.895399682948,0.0,Southwest
N_0095,customer,33.7742968240952,-104.1318954917367,0.0,158.21472429228402,Southwest
N_0096,distribution_center,44.41656736700023,-116.33160650855753,3492.1869505729633,0.0,Southeast
N_0097,customer,41.9602128082648,-88.58409045320386,0.0,86.43062321247724,Southeast
N_0098,customer,28.457890864316788,-88.18408935379004,0.0,144.0838047517781,Northeast
N_0099,customer,48.62162798162642,-101.65323014914624,0.0,360.4413628423182,West
N_0100,customer,36.00235417915451,-82.224641498352,0.0,291.4009117942034,Midwest
N_0101,customer,40.940841113722854,-113.24448868990947,0.0,32.031106379860056,West
N_0102,customer,46.348463465050315,-103.08343150516177,0.0,105.6315934371387,Southeast
N_0103,customer,40.745320527416894,-91.98484758654483,0.0,346.64918378541546,Southwest
N_0104,customer,45.635072195479495,-100.99851674384831,0.0,170.83422178238632,Southwest
N_0105,customer,37.332417629838346,-71.70541715183307,0.0,446.0430259720084,Northeast
N_0106,distribution_center,38.62545563034531,-90.82044646694567,4947.282174297424,0.0,Southwest
N_0107,customer,47.37574619749306,-81.24544545234465,0.0,146.91378324627527,Southwest
N_0108,distribution_center,45.502258935936055,-96.04486460397074,4124.912159700232,0.0,West
N_0109,customer,38.41038267098554,-103.10099855484765,0.0,394.96512072927237,Midwest
N_0110,customer,46.45564492112706,-105.088660785181,0.0,367.4372472175152,West
N_0111,customer,29.202955363128478,-85.30688774966447,0.0,118.04708908346709,West
N_0112,customer,30.992054865765525,-109.46840655543734,0.0,10.320161473036782,Southeast
N_0113,customer,40.055894442176275,-80.73431992760831,0.0,84.50379803800098,Northeast
N_0114,customer,29.788127558310602,-107.65700304000305,0.0,126.17150717349665,Midwest
N_0115,warehouse,31.995061923851054,-112.7550847638635,2457.6518712903935,0.0,Midwest
N_0116,customer,25.154445075923096,-79.42153912131516,0.0,354.21928737834975,Southeast
N_0117,customer,37.310131954594375,-83.459086992041,0.0,468.2343224959817,Southeast
N_0118,customer,44.86127325457713,-114.92820656456367,0.0,24.927206291390462,West
N_0119,warehouse,40.518410654767884,-111.62227011999028,6733.322124294911,0.0,Southwest
N_0120,customer,37.030615471017505,-122.03566242044405,0.0,27.106660801549666,Northeast
N_0121,customer,47.28120413527138,-66.21250067293573,0.0,400.0436271893688,Midwest
N_0122,customer,30.69948536205418,-122.0727519730086,0.0,365.0531605553382,Northeast
N_0123,customer,31.74519400400534,-114.7637330290537,0.0,196.07824623046557,Southeast
N_0124,customer,43.018471581065334,-117.59630848885011,0.0,388.65799563588877,Southeast
N_0125,customer,38.57875731618391,-70.18046168451045,0.0,199.78803380790387,Southeast
N_0126,customer,42.98622414353941,-99.5643680992767,0.0,52.898845373612495,Northeast
